Date,Time,Name,Team,Enemy,Duration,Win,Spell1,Spell2,Kills,Deaths,Assists,CS,Gold,Item1,Item2,Item3,Item4,Item5,Item6,Team Ban 1,Team Ban 2,Team Ban 3,Enemy Ban 1,Enemy Ban 2,Enemy Ban 3
7/19/2013,17:00,Patoy,Team Dignitas,Counter Logic Gaming,(32:16),1,Ignite,Flash,2,4,17,42,10k,Shurelya's Reverie,Ruby Sightstone,Boots of Mobility,Chain Vest,Cloth Armor,Empty,Vladimir,Jayce,Shen,Graves,Nunu,Zed
7/19/2013,17:00,Nientonsoh,Counter Logic Gaming,Team Dignitas,(32:16),0,Flash,Cleanse,7,4,4,232,12.1k,Blade of the Ruined King,Statikk Shiv,Last Whisper,Berserker's Greaves - Homeguard,Negatron Cloak,Doran's Blade,Graves,Nunu,Zed,Vladimir,Jayce,Shen
7/19/2013,17:00,Bigfatlp,Counter Logic Gaming,Team Dignitas,(32:16),0,Smite,Flash,0,3,10,100,7.3k,Runic Bulwark,Ninja Tabi,Kindlegem,Spirit Stone,Cloth Armor,Empty,Graves,Nunu,Zed,Vladimir,Jayce,Shen
7/19/2013,17:00,Link,Counter Logic Gaming,Team Dignitas,(32:16),0,Flash,Ignite,3,6,9,183,10.4k,Zhonya's Hourglass,Lich Bane,Mercury's Treads - Homeguard,Blasting Wand,Doran's Ring,Empty,Graves,Nunu,Zed,Vladimir,Jayce,Shen
7/19/2013,17:00,Doublelift,Counter Logic Gaming,Team Dignitas,(32:16),0,Flash,Barrier,5,5,6,266,12.6k,Infinity Edge,Phantom Dancer,Last Whisper,Berserker's Greaves,Vampiric Scepter,Doran's Blade,Graves,Nunu,Zed,Vladimir,Jayce,Shen
7/19/2013,17:00,Chauster,Counter Logic Gaming,Team Dignitas,(32:16),0,Exhaust,Flash,1,7,10,21,6.5k,Boots of Mobility,Sightstone,Kindlegem,Vision Ward,Sight Ward,Empty,Graves,Nunu,Zed,Vladimir,Jayce,Shen
7/19/2013,18:00,Vileroze,Velocity eSports,Team Vulcun,(38:32),1,Flash,Ignite,3,0,14,225,13.9k,Randuin's Omen,Mercury's Treads,Sunfire Cape,Doran's Shield,Thornmail,Chain Vest,Elise,Ryze,Sona,Rumble,Nunu,Evelynn
7/19/2013,18:00,Nk Inc,Velocity eSports,Team Vulcun,(38:32),1,Flash,Smite,1,0,13,127,11.1k,Locket of the Iron Solari,Randuin's Omen,Sightstone,Madred's Razors,Ninja Tabi,Empty,Elise,Ryze,Sona,Rumble,Nunu,Evelynn
7/19/2013,18:00,ecco,Velocity eSports,Team Vulcun,(38:32),1,Barrier,Flash,5,0,9,340,17.9k,Lich Bane,Zhonya's Hourglass,Twin Shadows,Rabadon's Deathcap,Boots of Swiftness - Alacrity,Empty,Elise,Ryze,Sona,Rumble,Nunu,Evelynn
7/19/2013,18:00,maplestreet,Velocity eSports,Team Vulcun,(38:32),1,Barrier,Flash,11,3,5,269,16.5k,Last Whisper,Blade of the Ruined King,Statikk Shiv,Berserker's Greaves,Phantom Dancer,Guardian Angel,Elise,Ryze,Sona,Rumble,Nunu,Evelynn
